degree,major,cgpa,skills,job_role
M.Sc,Civil,9.35,"Accounting, Excel, Financial Modeling, Python, Statistics",Financial Analyst
M.Tech,Computer Science,7.83,"Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.E.,Data Science,7.73," Stakeholder Management, Data Visualization, Excel, Pandas, Python, Requirements Gathering, Statistics, Tableau",Data Analyst
M.Sc,Mathematics,8.13," Linux, Deep Learning, Java, Machine Learning, PyTorch, Python",AI Engineer
B.Tech,Information Technology,7.99," C++,  Linux, Deep Learning, Model Deployment, NLP, PyTorch, Python, TensorFlow",AI Engineer
MBA,Mechanical,8.55,"Accounting, Communication, Excel, Python, Statistics",Financial Analyst
BBA,Law,6.5,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
Pharmacy,Pharmacy,6.47,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Sc,Information Technology,6.95,"Linux, Network Monitoring, Routing, Switching",Network Administrator
B.Tech,Operations,8.35,"Agile, Metrics, User Stories",Product Manager
B.A.,Journalism,7.47,"Content Strategy, Copywriting, Research",Content Writer
MBA,Human Resources,6.56,"Bloomberg, Docker, Excel, Financial Modeling, Power BI",Financial Analyst
B.Tech,Networking,6.54,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Finance,7.1,"C++, Microcontrollers, Python, RTOS, SolidWorks, Verilog",Embedded Systems Engineer
B.Com,Marketing,5.48," Python,  Statistics, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Sc,English,7.3,"Prototyping, Sketch, Usability Testing, Wireframing",Ux/Ui Designer
B.Sc,Game Design,7,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Sc,Networking,6.78,"Linux, Routing, Switching, TCP/IP",Network Administrator
B.E.,Information Technology,7.33,"Data Analysis, LaTeX, Research Methods",Research Scientist
B.Sc,Networking,7.25,"Cisco, Git, Linux, TCP/IP",Network Administrator
MBA,Computer Science,7.01,"C, Electronics, Microcontrollers, Python, RTOS",Embedded Systems Engineer
B.A.,Graphic Design,7.73,"C#, Game Design, Shader Programming, Unity",Game Developer
B.Tech,Mechanical,7.42,"AutoCAD, STAAD.Pro, Structural Analysis",Civil Engineer
B.Tech,Statistics,6.94,"MySQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Sc,Graphic Design,8.18,"C#, C++, Game Design, Shader Programming, Unity, Unreal Engine",Game Developer
B.A.,Animation,7.31,"C#, C++, Game Design, Shader Programming",Game Developer
B.Tech,Mathematics,7.29,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
B.Tech,Production,6.39,"AutoCAD, Project Management, STAAD.Pro",Civil Engineer
MBA,Computer Science,9.68,"Matlab, Mechanics, Thermodynamics",Mechanical Engineer
MBA,Business Administration,8.42,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
M.Sc,Business,6.11,"AutoCAD, Excel, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
MBA,Marketing,8.12,"Lean, Operations Management, Process Improvement",Operations Manager
B.Com,Finance,6.62," Data Visualization,  Tableau, Communication, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Tech,Mathematics,6.74," Stakeholder Management,  UML, Data Visualization, Excel, Pandas",Data Analyst
B.A.,Animation,7.56,"Adobe Photoshop, Figma, Illustrator, InDesign, Teamwork, Typography, UI Design",Graphic Designer
MBA,Operations,6.77,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
M.Tech,Civil,6.81,"Communication, Financial Modeling, Python",Financial Analyst
M.Tech,Computer Science,6.37,"CSS, HTML, REST APIs, React",Web Developer
B.Tech,Computer Science,7.11,"Linux, Network Monitoring, Routing",Network Administrator
M.Com,Operations,8.86,"Bloomberg, Excel, Financial Modeling, Power BI, SQL",Financial Analyst
B.A. LL.B,Law,6.31,"Compliance, Drafting, Legal Research, Negotiation",Legal Advisor
B.A.,Graphic Design,7.56,"Branding, Figma, Illustrator, InDesign, Teamwork, Typography, UI Design",Graphic Designer
M.Pharm,Pharmacy,8.04,"Drug Dispensing, Patient Counseling, Regulatory Compliance",Pharmacist
M.Tech,Computer Science,7.61,"C++, Microcontrollers, RTOS, Verilog",Embedded Systems Engineer
M.Tech,Electronics,6.29,"CAD, Materials, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.E.,Information Technology,7.86,"CSS, HTML, JavaScript, React",Web Developer
B.Tech,Structural,8.76,"AutoCAD, Construction, Project Management, Structural Analysis, Surveying",Civil Engineer
LLM,Law,6.92,"Compliance, Contract Law, Drafting, Negotiation",Legal Advisor
B.A.,Game Design,8.13,"Adobe Photoshop, Branding, Typography",Graphic Designer
MBA,Mechanical,6.66,"Materials, Matlab, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Computer Science,8.56,"Communication, Firewall, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Tech,Human Resources,7.18,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Problem Solving, Recruitment",Hr Manager
M.Tech,Mechanical,6.56,"Accounting, Communication, Financial Modeling, Python, Statistics",Financial Analyst
B.Des,Game Design,6.91,"Adobe Photoshop, Figma, Illustrator, InDesign, Typography, UI Design",Graphic Designer
M.Com,Business Administration,6.08," Statistics, Power BI, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Tech,Mechanical,9.2,"Construction, Project Management, SQL, STAAD.Pro, Structural Analysis",Civil Engineer
Diploma,Graphic Design,7.72,"Adobe Photoshop, Branding, Illustrator, InDesign, Typography, UI Design",Graphic Designer
BBA,Marketing,6.02,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.A.,Graphic Design,7.43,"3D Modeling, C#, SQL, Shader Programming, Unity",Game Developer
Diploma,Animation,6.22,"Figma, SQL, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
Diploma,Networking,8.1,"CSS, HTML, JavaScript, MongoDB, Node.js, Problem Solving, React",Web Developer
M.Pharm,Pharmacy,6.06,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Sc,Computer Science,8.02," Python, Problem Solving, PyTorch, Python, SQL, TensorFlow",AI Engineer
B.Tech,Structural,8.79,"ANSYS, MATLAB, Manufacturing, SolidWorks, Teamwork, Thermodynamics",Mechanical Engineer
B.A.,Graphic Design,8.37,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Tech,Human Resources,7.1,"Agile, Metrics, Roadmapping, Stakeholder Management",Product Manager
M.Tech,Computer Science,6.39,"C, C++, Electronics, Python, Verilog",Embedded Systems Engineer
B.Sc,Animation,6.98,"Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.E.,Electronics,8.29,"Firewall, Incident Response, Network Security, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Com,Marketing,6.58,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
BBA,Journalism,8.54,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
B.Sc,Graphic Design,7.47,"Content Strategy, Copywriting, Editing, Linux, Research, SEO, WordPress",Content Writer
B.Com,Business Administration,7.39,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.Tech,Business Administration,6.95," Statistics, Process Modeling, Python, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
MBA,Electronics,8.79,"Accounting, AutoCAD, Communication, Excel, Finance, Valuation",Investment Banker
M.Com,Marketing,7.95,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
B.E.,Production,7.98,"AutoCAD, Construction, STAAD.Pro",Civil Engineer
MBA,Mass Communication,7.71,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
B.Tech,Computer Science,8.41,"Accounting, Communication, Valuation",Investment Banker
B.Des,Design,7.2,"Prototyping, Usability Testing, User Research, Wireframing",Ux/Ui Designer
Pharmacy,Pharmacy,8.15,"Clinical Knowledge, Drug Dispensing, Regulatory Compliance",Pharmacist
Diploma,Graphic Design,8.96,"Adobe Photoshop, Figma, Illustrator, InDesign, Problem Solving, Typography, UI Design",Graphic Designer
B.Tech,Data Science,8.02,"Backup & Recovery, PostgreSQL, SQL",Database Administrator
B.Sc,Animation,9.46,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
MBA,Civil,9.36,"CNC, Excel, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
B.Tech,Finance,6.98,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Civil,8.81,"Accounting, Communication, Excel, Financial Modeling, Python",Financial Analyst
B.Tech,Networking,7.3,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.E.,Data Science,6.71," Docker, Pandas, Power BI, SQL, Stakeholder Management",Data Analyst
M.Tech,Civil,6.22,"Accounting, Communication, Excel",Financial Analyst
M.Sc,Mechanical,6.16,"Accounting, Communication, Excel, M&A, Valuation",Investment Banker
B.Tech,Business,6.13,"CAD, Data Structures, Mechanics, SolidWorks, Thermodynamics",Mechanical Engineer
MBA,Marketing,7.87,"Docker, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
M.Sc,Computer Science,7.54,"Data Analysis, Experiment Design, Git, LaTeX, Python, Statistics",Research Scientist
B.Tech,Statistics,8.3," Java,  SQL, Model Deployment, NLP, PyTorch, TensorFlow",AI Engineer
B.Tech,Civil,8,"Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Tech,Computer Science,6.77,"AutoCAD, CNC, Electronics, Matlab",Manufacturing Engineer
M.Tech,Information Technology,5.72,"CSS, HTML, MongoDB, Node.js, REST APIs, React",Web Developer
M.Com,Business Administration,8.49,"HR Policies, Labor Laws, Performance Management",Hr Manager
B.Tech,Computer Science,8.35," Requirements Gathering,  UML, Data Visualization, Python, Statistics",Data Analyst
B.Des,English,9.12,"Content Strategy, Copywriting, Research, SEO",Content Writer
Diploma,Networking,8.11,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Mathematics,8.4," Requirements Gathering,  Stakeholder Management, Excel, SQL, Statistics, Tableau",Data Analyst
M.Sc,Electronics,7.46," Git,  Model Deployment,  TensorFlow, Accounting, Java, Linux, MongoDB, Python",Software Engineer
B.Com,Marketing,7.5,"Metrics, Roadmapping, Stakeholder Management",Product Manager
B.A.,Game Design,7.82,"Content Strategy, Copywriting, Excel, SEO",Content Writer
MBA,Human Resources,7.98,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
MBA,Mechanical,7.76,"AutoCAD, CNC, Excel, Matlab",Manufacturing Engineer
B.Tech,Information Technology,7.65," Process Modeling,  Requirements Gathering, Pandas, Power BI, Python, Statistics, Tableau",Data Analyst
B.Tech,Civil,7.98,"AutoCAD, STAAD.Pro, Structural Analysis",Civil Engineer
B.Tech,Marketing,7.03,"Bloomberg, Excel, Power BI, SQL, Valuation",Financial Analyst
B.Tech,Business,7.64,"C++, Electronics, Finance, Microcontrollers, Python",Embedded Systems Engineer
MBA,Civil,8.46,"Accounting, Financial Modeling, Python",Financial Analyst
MBA,Mechanical,8.11,"Accounting, Excel, Financial Modeling, Python, Statistics",Financial Analyst
B.Tech,Business Administration,7.36,"Lean, Process Improvement, Supply Chain, Teamwork",Operations Manager
B.Com,Marketing,5.97,"Agile, Docker, Metrics, Product Strategy, Stakeholder Management",Product Manager
M.Tech,Electronics,7.66," CSS,  NLP,  PyTorch,  REST APIs, Git, Java, SQL",Software Engineer
M.Tech,Electrical,7.79,"Embedded Systems, MATLAB, Power Systems",Electrical Engineer
B.Pharm,Pharmacy,7.94,"Clinical Knowledge, Drug Dispensing, Linux, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.Com,Marketing,6.78,"Communication, Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Sc,Data Science,6.55," Process Modeling,  SQL, Data Visualization, Excel, Linux, Pandas, SQL, Statistics, Tableau",Data Analyst
B.E.,Information Technology,6.44,"Backup & Recovery, Excel, MySQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
BBA,Marketing,7.89,"ERP, Lean, Operations Management, Problem Solving, Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Operations,8.47,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
M.Pharm,Pharmacy,6.84,"Clinical Knowledge, Pharmacology, Regulatory Compliance, SQL",Pharmacist
MBA,Journalism,7.05,"Content Marketing, Google Analytics, PPC, Social Media",Digital Marketing Specialist
MBA,Mass Communication,8.42,"Google Analytics, SEM, SEO",Digital Marketing Specialist
B.Sc,Civil,7.87,"C++, Electronics, Matlab, RTOS, Verilog",Embedded Systems Engineer
B.Tech,Statistics,8.07," Data Structures, Docker, Git, Machine Learning, PyTorch, TensorFlow",AI Engineer
B.Sc,Mechanical,9.22,"Materials, Matlab, SolidWorks, Thermodynamics",Mechanical Engineer
B.Tech,Marketing,6.2," Excel, Pandas, Process Modeling, Requirements Gathering, Stakeholder Management, UML",Business Analyst
B.Com,Business Administration,6.37,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
M.Sc,AI & ML,6.95," SQL,  Stakeholder Management, Data Visualization, Pandas, Python, SQL, Statistics, Tableau",Data Analyst
B.Tech,Information Technology,7.56,"AWS, Docker, GCP, Terraform",Cloud Engineer
M.Tech,Civil,9.13,"Communication, Python, Statistics",Financial Analyst
B.Com,Operations,7.75,"Employee Engagement, HR Policies, Recruitment",Hr Manager
B.Com,Operations,6.18,"Accounting, Bloomberg, Excel, Power BI, SQL, Teamwork",Financial Analyst
M.Tech,Civil,7.08,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Sc,AI & ML,7.29,"AWS, Azure, CI/CD, Docker, Linux, Teamwork, Terraform",Cloud Engineer
B.Tech,Operations,7.29," Excel, Process Modeling, Python, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
MBA,Marketing,5.31,"Agile, Linux, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
B.Com,Finance,6.74,"Campaign Management, Communication, Market Research, SEO, Social Media",Marketing Executive
BBA,Marketing,7.84,"ERP, Lean, Operations Management, Process Improvement, SQL, Six Sigma",Operations Manager
B.Sc,Computer Science,8.13,"AutoCAD, CNC, Excel, Matlab",Manufacturing Engineer
LLB,Law,8.77,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
M.Com,Operations,5.99,"Excel, Financial Modeling, Valuation",Financial Analyst
B.Sc,Animation,5.94,"Content Strategy, Copywriting, Editing, Research",Content Writer
B.Des,Animation,8.54,"3D Modeling, Game Design, Shader Programming, Unity, Unreal Engine",Game Developer
B.Tech,Structural,6.74,"Circuit Design, Embedded Systems, MATLAB, PCB Design",Electrical Engineer
Diploma,Graphic Design,6.99,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Sc,Computer Science,6.91,"Communication, Financial Modeling, Lean Manufacturing, Statistics",Financial Analyst
M.Tech,Business,8.23," Deep Learning,  Node.js,  PyTorch,  REST APIs, C++, Data Structures, Java, Python, SQL",Software Engineer
M.Des,Journalism,8.37,"3D Modeling, C#, C++, Game Design, Shader Programming, Unity",Game Developer
M.Tech,Business,7.46,"AutoCAD, CNC, Excel, Lean Manufacturing, SolidWorks",Manufacturing Engineer
M.Com,Marketing,6.83,"Employee Engagement, HR Policies, Performance Management, Recruitment, Teamwork",Hr Manager
B.Tech,Finance,8.12," Data Visualization,  Python, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Com,Law,7.85,"Drafting, Excel, Legal Research, Negotiation",Legal Advisor
B.Des,Journalism,6.01,"Sketch, Usability Testing, Wireframing",Ux/Ui Designer
B.Sc,Computer Science,7.91," UML, Data Visualization, Docker, Excel, Pandas, Power BI, Python, SQL, Statistics",Data Analyst
B.Des,Design,7.44,"Content Strategy, Editing, SEO",Content Writer
B.Tech,Business Administration,7.11,"Employee Engagement, HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Sc,Business,7.9,"Matlab, Microcontrollers, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Electronics,7.56,"Materials, Matlab, SolidWorks",Mechanical Engineer
B.Com,Operations,7.86,"Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
BBA,Law,8.69,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
Diploma,Game Design,6.63,"Figma, Prototyping, Sketch",Ux/Ui Designer
BBA,Law,7.01,"Compliance, Contract Law, Drafting, Negotiation",Legal Advisor
MBA,Finance,9,"CAD, Materials, Matlab, SolidWorks, Thermodynamics",Mechanical Engineer
B.Com,Operations,6.32,"ERP, Lean, Operations Management, Process Improvement, Six Sigma, Supply Chain",Operations Manager
M.Tech,Business,8.6,"CAD, Materials, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.Com,Marketing,7.68,"Lean, Operations Management, Process Improvement",Operations Manager
B.Tech,Finance,7.84,"Bloomberg, Excel, Financial Modeling, Power BI, SQL, Valuation",Financial Analyst
B.E.,Computer Science,8.36,"CSS, Excel, HTML, MongoDB, Node.js, React",Web Developer
B.Tech,Networking,8.08,"Firewall, Git, Incident Response, Penetration Testing, Python, SIEM",Cybersecurity Analyst
B.Tech,Mechanical,7.72,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Sc,Pharmacy,8.37,"Clinical Knowledge, Drug Dispensing, Linux, Patient Counseling, Pharmacology, Regulatory Compliance",Pharmacist
B.A.,English,7.67,"Adobe Photoshop, Illustrator, UI Design",Graphic Designer
B.Tech,Finance,7.17,"Excel, Financial Modeling, Power BI",Financial Analyst
Diploma,Graphic Design,7.64,"3D Modeling, C#, C++, Shader Programming, Unity",Game Developer
M.Sc,Mechanical,8.55,"Accounting, Excel, Git, M&A",Investment Banker
B.Tech,Mathematics,6.12,"AWS, Azure, Excel, GCP",Cloud Engineer
M.Com,Operations,6.11," Power BI,  SQL, Excel, Process Modeling, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
B.Tech,Business Administration,7.25,"Docker, Employee Engagement, Labor Laws, Performance Management, Recruitment",Hr Manager
B.Tech,Civil,7.49,"Accounting, Financial Modeling, Python",Financial Analyst
BBA,Marketing,8.81,"ERP, Lean, Operations Management, Process Improvement",Operations Manager
LLM,Law,7.75,"Compliance, Contract Law, Drafting, Legal Research, Negotiation, Problem Solving",Legal Advisor
B.Tech,Operations,6.68,"Lean, Operations Management, Six Sigma, Supply Chain",Operations Manager
B.Sc,Animation,7.89,"Prototyping, Sketch, Usability Testing, User Research",Ux/Ui Designer
MBA,Business Administration,8.09,"Accounting, Bloomberg, Communication, SQL, Valuation",Financial Analyst
Diploma,Electronics,8.31,"Cisco, Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Des,Journalism,7.76,"Figma, Illustrator, Typography",Graphic Designer
B.Des,Journalism,7.66,"3D Modeling, C#, C++, Game Design, Problem Solving, Unity, Unreal Engine",Game Developer
B.Tech,Civil,7.53,"Construction, Linux, Project Management, Surveying",Civil Engineer
B.Com,Finance,5.51,"Operations Management, Process Improvement, Supply Chain",Operations Manager
B.Sc,Animation,7.82,"Figma, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Electronics,9.61,"CNC, Excel, Matlab",Manufacturing Engineer
M.Sc,Finance,7.97,"AutoCAD, CNC, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
Diploma,Game Design,7.46,"Linux, Prototyping, Sketch, Usability Testing, Wireframing",Ux/Ui Designer
B.A. LL.B,Law,6.63,"Compliance, Contract Law, Drafting, Legal Research, Negotiation",Legal Advisor
M.Tech,Mechanical,7.27,"Accounting, Excel, Finance, M&A, Valuation, Verilog",Investment Banker
M.Sc,Mathematics,7.94,"Backup & Recovery, MySQL, NoSQL, PostgreSQL, SQL",Database Administrator
B.Sc,AI & ML,7.84,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, SQL",Database Administrator
M.Des,Graphic Design,5.6,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Civil,6.8,"Circuit Design, Embedded Systems, MATLAB, PCB Design, Power Systems",Electrical Engineer
B.Tech,Electrical,6.68,"AutoCAD, Construction, Project Management, STAAD.Pro, Structural Analysis, Surveying",Civil Engineer
M.Tech,Networking,7.28,"Cisco, Network Monitoring, Routing, SQL, Switching, TCP/IP",Network Administrator
B.Sc,Data Science,7.49,"GCP, Kubernetes, Linux, Terraform",Cloud Engineer
Pharmacy,Pharmacy,7.61,"Clinical Knowledge, Drug Dispensing, Excel, Patient Counseling, Regulatory Compliance",Pharmacist
B.Sc,Animation,7.45,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
M.Tech,Electrical,5.67,"AutoCAD, Construction, STAAD.Pro, Surveying",Civil Engineer
B.Tech,Statistics,8.18," Linux,  Python, Docker, Machine Learning, Model Deployment, PyTorch, Python",AI Engineer
Diploma,Information Technology,6.95,"Firewall, Incident Response, Python, SIEM",Cybersecurity Analyst
B.Sc,Animation,8.4,"Excel, Figma, Sketch, User Research",Ux/Ui Designer
B.Com,Marketing,7.44,"Communication, Market Research, SEO",Marketing Executive
B.Com,Finance,7.66,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
B.Tech,Civil,7.4,"CAD, Manufacturing, SolidWorks, Thermodynamics",Mechanical Engineer
M.Tech,Mechanical,7.86,"CAD, Matlab, Mechanics, SolidWorks",Mechanical Engineer
B.Sc,Statistics,8.15,"Experiment Design, Python, Research Methods, Statistics",Research Scientist
B.A.,Game Design,6.52,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
BBA,Human Resources,5.77," Statistics, Power BI, SQL, Stakeholder Management, UML",Business Analyst
M.Com,Marketing,9.12," Data Visualization,  Python, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
Diploma,Journalism,8.24,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
Diploma,Information Technology,7.7,"Cisco, Linux, Routing, Switching, TCP/IP",Network Administrator
B.Sc,Pharmacy,7.72,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Pharmacology",Pharmacist
MBA,Marketing,7.77,"Content Marketing, Google Analytics, PPC, Problem Solving",Digital Marketing Specialist
B.Tech,Production,6.8,"Circuit Design, Embedded Systems, Power Systems",Electrical Engineer
B.Tech,Human Resources,7.75,"Agile, Metrics, Product Strategy, Roadmapping, Stakeholder Management, User Stories",Product Manager
B.A. LL.B,Law,6.7,"Contract Law, Docker, Legal Research, Negotiation",Legal Advisor
B.E.,Computer Science,7.61,"Data Analysis, Experiment Design, Research Methods, Statistics",Research Scientist
Diploma,Electronics,7.31,"Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Com,Human Resources,6.41,"HR Policies, Labor Laws, Performance Management, Recruitment",Hr Manager
B.A.,Journalism,7.3,"Content Strategy, Editing, WordPress",Content Writer
M.Sc,Computer Science,8.18,"AutoCAD, CNC, Lean Manufacturing, Matlab, SolidWorks",Manufacturing Engineer
BBA,Finance,7.71," Power BI,  Python, Process Modeling, Requirements Gathering, SQL, Stakeholder Management, UML",Business Analyst
B.Tech,Electronics,7.11,"Accounting, Excel, Financial Modeling, Python",Financial Analyst
M.Des,Design,7.44,"Figma, Prototyping, Sketch, Usability Testing",Ux/Ui Designer
B.Sc,Civil,7.73,"C, Electronics, Python, RTOS, Verilog",Embedded Systems Engineer
M.Com,Finance,6.77,"Campaign Management, Market Research, SEO",Marketing Executive
B.Tech,Civil,7.4,"C, Electronics, Microcontrollers, RTOS, Verilog",Embedded Systems Engineer
MBA,Computer Science,9.59,"Accounting, Communication, Excel, Statistics",Financial Analyst
B.Tech,Finance,7.18,"Accounting, Excel, Financial Modeling",Financial Analyst
B.Pharm,Pharmacy,7.21,"Clinical Knowledge, Drug Dispensing, Patient Counseling, Regulatory Compliance, Teamwork",Pharmacist
B.Sc,Electronics,6.4,"MongoDB, REST APIs, React, SQL",Web Developer
B.Sc,Animation,6.01,"Content Strategy, Research, SEO",Content Writer
B.E.,Data Science,8.06,"AWS, Azure, CI/CD, Kubernetes, Linux, Terraform",Cloud Engineer
B.A.,Journalism,6.79,"Content Strategy, Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Tech,Electronics,8.54,"Linux, Network Monitoring, Routing, Switching, TCP/IP",Network Administrator
B.Com,Mass Communication,6.82,"Content Marketing, Google Analytics, SEM, SEO, Social Media",Digital Marketing Specialist
M.Des,Animation,7.72,"Excel, Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
M.Des,Game Design,6.94,"Adobe Photoshop, Branding, Figma, InDesign, Typography, UI Design",Graphic Designer
M.Tech,Mechanical,6.16,"AutoCAD, Construction, Project Management",Civil Engineer
M.Tech,Electrical,9.2,"MATLAB, Manufacturing, Problem Solving, SolidWorks, Thermodynamics",Mechanical Engineer
Diploma,English,7.66,"Copywriting, Editing, Research, SEO, WordPress",Content Writer
B.Tech,Operations,7.46," Pandas, Process Modeling, Python, Requirements Gathering, SQL, Stakeholder Management",Business Analyst
B.Tech,Electronics,7.03,"Docker, Linux, Routing, Switching, TCP/IP",Network Administrator
B.Tech,Finance,7.08,"CAD, CNC, Excel, SolidWorks",Manufacturing Engineer
B.A.,Marketing,5.16,"Content Marketing, Google Analytics, Linux, PPC, SEM, Social Media",Digital Marketing Specialist
B.Tech,Networking,8.59,"Firewall, Incident Response, Python",Cybersecurity Analyst
M.Tech,Electronics,9.46,"C, Electronics, RTOS, Statistics",Embedded Systems Engineer
B.Sc,Computer Science,7.81,"CSS, HTML, JavaScript, MongoDB",Web Developer
B.Des,Design,9.99,"Figma, Prototyping, Sketch, Usability Testing, User Research, Wireframing",Ux/Ui Designer
B.Tech,Mathematics,7.6," Docker, Data Visualization, Git, Pandas, Python, Stakeholder Management, Statistics",Data Analyst
B.Tech,Marketing,8.06,"Agile, Metrics, Product Strategy, Roadmapping",Product Manager
B.Tech,Mathematics,6.6,"Backup & Recovery, MySQL, NoSQL, Performance Tuning, PostgreSQL, SQL",Database Administrator
MBA,Computer Science,7.54,"Accounting, Communication, Python, Statistics",Financial Analyst
Diploma,Journalism,6.23,"Excel, Game Design, Shader Programming, Unity",Game Developer
B.Tech,Marketing,6.89,"Bloomberg, Financial Modeling, Power BI, SQL",Financial Analyst
BBA,Marketing,8.8,"Metrics, Product Strategy, User Stories",Product Manager
M.Tech,Business,8.25,"C, C++, Electronics",Embedded Systems Engineer
MBA,Finance,8.95,"Communication, Excel, Finance",Investment Banker
BBA,Finance,7.33,"Accounting, Bloomberg, Excel, Financial Modeling, Power BI, Valuation",Financial Analyst
BBA,Operations,6.03,"Process Improvement, Six Sigma, Supply Chain",Operations Manager
B.Tech,Statistics,8.73,"AWS, Docker, GCP, Kubernetes, Terraform",Cloud Engineer
B.Com,Journalism,8.09,"Content Marketing, Google Analytics, PPC, SEM, SEO, Social Media",Digital Marketing Specialist
B.Tech,Electronics,6.33,"Excel, Financial Modeling, Python, Statistics",Financial Analyst
